,_id,birthDate,birthPlace,career_AST,career_FG%,career_FG3%,career_FT%,career_G,career_PER,career_PTS,career_TRB,career_WS,career_eFG%,college,draft_pick,draft_round,draft_team,draft_year,height,highSchool,name,position,shoots,weight
21,adamsmi01,"January 19, 1963","Hartford, Connecticut",6.4,41.5,33.2,84.9,653,16.6,14.7,2.9,46.9,47.5,Boston College,66th overall,3rd round,Sacramento Kings,1985,5-10,"Hartford Public in Hartford, Connecticut",Michael Adams,Point Guard,Right,162lb
22,adamsst01,"July 20, 1993","Rotorua, New Zealand",1.0,58.8,0.0,55.3,467,16.7,9.7,7.4,38.7,58.8,University of Pittsburgh,12th overall,1st round,Oklahoma City Thunder,2013,7-0,"Notre Dame Preparatory School in Fitchburg, Massachusetts",Steven Adams,Center,Right,265lb
23,addisra01,"July 22, 1964","Jersey City, New Jersey",0.9,44.9,28.2,77.2,379,10.5,5.8,2.1,4.9,46.6,Syracuse University,39th overall,2nd round,Phoenix Suns,1986,6-7,"Snyder in Jersey City, New Jersey",Rafael Addison,Small Forward,Right,215lb
24,adebaba01,"July 18, 1997","Newark, New Jersey",1.9,55.0,13.6,72.8,151,17.0,8.0,6.5,11.0,55.1,University of Kentucky,14th overall,1st round,Miami Heat,2017,6-10,"High Point Christian Academy in High Point, North Carolina",Bam Adebayo,Center,Right,255lb
28,afflaar01,"October 15, 1985","Los Angeles, California",1.8,45.0,38.6,82.5,762,11.9,10.8,2.9,33.5,51.4,"University of California, Los Angeles",27th overall,1st round,Detroit Pistons,2007,6-5,"Centennial in Compton, California",Arron Afflalo,Shooting Guard and Small Forward,Right,210lb
29,agerma01,"February 9, 1984","Detroit, Michigan",0.2,33.9,25.0,56.6,82,2.8,2.1,0.6,-0.9,36.8,Michigan State University,28th overall,1st round,Dallas Mavericks,2006,6-5,"Crocket in Detroit, Michigan",Maurice Ager,Shooting Guard,Right,202lb
30,aguirma01,"December 10, 1959","Chicago, Illinois",3.1,48.4,31.2,74.1,923,19.0,20.0,5.0,67.8,49.8,DePaul University,1st overall,1st round,Dallas Mavericks,1981,6-6,"George Westinghouse in Chicago, Illinois",Mark Aguirre,Small Forward,Right,232lb
32,aingeda01,"March 17, 1959","Eugene, Oregon",4.0,46.9,37.8,84.6,1042,14.7,11.5,2.7,71.5,51.9,Brigham Young University,31st overall,2nd round,Boston Celtics,1981,6-4,"Eugene in North Eugene, Oregon",Danny Ainge,Shooting Guard and Point Guard,Right,175lb
33,aitchma01,"September 21, 1944","St. Louis, Missouri",0.4,40.5,0.0,67.5,45,11.9,5.6,3.6,0.5,40.5,Michigan State University,135th overall,13th round,Detroit Pistons,1967,6-7,"Maplewood-Richmond Heights in Maplewood, Missouri",Matthew Aitch,Power Forward,Right,230lb
39,alarima01,"December 11, 1963","Phoenix, Arizona",1.1,47.5,25.2,77.5,325,13.0,7.5,3.4,8.4,48.3,Duke University,18th overall,1st round,Denver Nuggets,1986,6-8,"Brophy College Preparatory in Phoenix, Arizona",Mark Alarie,Power Forward,Right,217lb
43,aldrila01,"July 19, 1985","Dallas, Texas",2.0,49.1,28.3,81.0,950,20.9,19.6,8.4,107.0,49.5,University of Texas at Austin,2nd overall,1st round,Chicago Bulls,2006,6-11,"Seagoville in Seagoville, Texas",LaMarcus Aldridge,Power Forward and Center,Right,260lb
44,aleksch01,"February 26, 1959","Litchfield, Connecticut",0.5,47.8,0.0,73.3,74,9.1,5.1,3.6,0.4,47.8,"University of Kentucky, University of Connecticut",76th overall,4th round,Chicago Bulls,1982,6-11,"Wamogo in Litchfield, Connecticut",Chuck Aleksinas,Center,Right,260lb
46,alexaco01,"June 22, 1973","Waynesboro, Virginia",2.7,38.9,35.4,75.6,307,12.4,5.5,1.6,3.0,46.8,University of Virginia,29th overall,1st round,San Antonio Spurs,1995,6-1,"Oak Hill Academy in Mouth of Wilson, Virginia",Cory Alexander,Shooting Guard and Point Guard,Right,185lb
47,alexaco02,"April 27, 1977","Bridgeport, Connecticut",1.2,42.2,33.9,81.3,187,11.5,9.0,2.2,4.1,43.5,"University of Virginia, California State University, Fresno",13th overall,1st round,Orlando Magic,2000,6-5,"Jordan in Durham, North Carolina",Courtney Alexander,Point Guard and Shooting Guard,Right,205lb
49,alexajo01,"December 26, 1986","Kaohsiung, Taiwan",0.7,41.0,34.0,69.8,67,9.9,4.2,1.8,0.5,44.2,West Virginia University,8th overall,1st round,Milwaukee Bucks,2008,6-8,"Hargrave Military Academy in Chatham, Virginia",Joe Alexander,Small Forward,Right,230lb
50,alexavi01,"August 31, 1969","Detroit, Michigan",0.9,51.8,28.6,63.4,286,13.7,8.9,4.8,8.8,52.2,Iowa State University,17th overall,1st round,Golden State Warriors,1991,6-9,"Denby in Detroit, Michigan",Victor Alexander,Center,Right,265lb
51,alforst01,"November 23, 1964","Franklin, Indiana",1.0,45.9,32.4,87.0,169,14.4,4.4,0.9,3.2,48.7,Indiana University,26th overall,2nd round,Dallas Mavericks,1987,6-2,"Chrysler in New Castle, Indiana",Steve Alford,Point Guard,Right,183lb
55,allengr01,"October 8, 1995","Jacksonville, Florida",0.7,37.6,32.3,75.0,38,7.5,5.6,0.6,0.0,46.6,Duke University,21st overall,1st round,Utah Jazz,2018,6-5,"Providence School in Jacksonville, Florida",Grayson Allen,Shooting Guard,Right,198lb
56,allenja01,"April 21, 1998","Austin, Texas",1.0,59.0,18.3,73.2,152,18.1,9.6,7.0,11.9,59.5,University of Texas at Austin,22nd overall,1st round,Brooklyn Nets,2017,6-11,"St. Stephen's Episcopal School in Austin, Texas",Jarrett Allen,Center,Right,237lb
57,allenje01,"January 28, 1973","Philadelphia, Pennsylvania",1.7,35.0,31.7,63.0,117,8.5,2.9,1.1,0.2,41.1,University of Pennsylvania,49th overall,2nd round,Minnesota Timberwolves,1995,6-4,"Episcopal Academy in Merion Station, Pennsylvania",Jerome Allen,Shooting Guard,Right,184lb
58,allenka01,"January 15, 1993","Wilmington, North Carolina",2.4,43.6,36.2,77.8,37,13.4,5.6,1.7,0.9,48.8,University of Arizona,53rd overall,2nd round,Boston Celtics,2017,6-3,"New Hanover in Wilmington, North Carolina",Kadeem Allen,Shooting Guard and Point Guard,Right,192lb
59,allenla01,"February 4, 1989","Morrisville, Pennsylvania",1.0,47.1,13.3,68.2,388,12.5,4.8,4.8,13.8,47.2,Temple University,50th overall,2nd round,Philadelphia 76ers,2011,6-9,"Pennsbury in Fairless Hills, Pennsylvania",Lavoy Allen,Power Forward and Center,Right,260lb
63,allenra02,"July 20, 1975","Merced, California",3.4,45.2,40.0,89.4,1300,18.6,18.9,4.1,145.1,53.0,University of Connecticut,5th overall,1st round,Minnesota Timberwolves,1996,6-5,"Hillcrest in Dalzell, South Carolina",Ray Allen,Shooting Guard,Right,205lb
64,allento01,"January 11, 1982","Chicago, Illinois",1.3,47.5,28.2,70.9,820,14.2,8.1,3.5,38.7,48.7,"Butler County Community College, Oklahoma State University",25th overall,1st round,Boston Celtics,2004,6-4,"Crane Technical Preparatory in Chicago, Illinois",Tony Allen,Shooting Guard and Small Forward and Point Guard,Right,213lb
68,allumda01,"September 12, 1958","Los Angeles, California",1.1,34.3,0.0,59.1,22,5.3,2.7,3.0,-0.3,34.3,"University of California, Los Angeles",103rd overall,5th round,Dallas Mavericks,1980,6-9,"Lynwood in Lynwood, California",Darrell Allums,Power Forward,Right,220lb
69,almonmo01,"February 2, 1985","Dalton, Georgia",0.3,38.1,29.2,74.3,38,7.0,3.1,1.2,0.0,41.2,Rice University,25th overall,1st round,Utah Jazz,2007,6-6,"McEachern in Powder Springs, Georgia",Morris Almond,Shooting Guard,Right,225lb
70,alstode01,"August 20, 1972","Bronx, New York",0.7,48.9,14.3,48.7,139,11.7,5.4,3.8,2.6,49.0,Duquesne University,33rd overall,2nd round,Philadelphia 76ers,1994,6-11,"Hoboken in Hoboken, New Jersey",Derrick Alston,Center,Right,225lb
71,alstora01,"July 24, 1976","New York, New York",4.8,38.3,35.4,72.9,671,13.2,10.1,2.8,32.9,46.1,"California State University, Fresno",39th overall,2nd round,Milwaukee Bucks,1998,6-2,"Benjamin Cardozo in Bayside, New York",Rafer Alston,Point Guard,Right,171lb
75,aminual01,"September 21, 1990","Atlanta, Georgia",1.2,42.3,33.7,74.7,670,12.4,7.7,6.1,27.4,48.2,Wake Forest University,8th overall,1st round,Los Angeles Clippers,2010,6-9,"Norcross in Norcross, Georgia",Al-Farouq Aminu,Power Forward and Small Forward,Right,220lb
86,anderde01,"July 18, 1974","Louisville, Kentucky",3.4,40.8,34.1,85.3,615,15.3,12.0,3.2,43.9,46.3,"Ohio State University, University of Kentucky",13th overall,1st round,Cleveland Cavaliers,1997,6-5,"Doss in Louisville, Kentucky",Derek Anderson,Shooting Guard and Small Forward and Point Guard,Right,194lb
89,andergr01,"June 22, 1964","Houston, Texas",0.6,49.2,8.7,55.7,680,13.0,7.3,6.2,18.7,49.2,University of Houston,23rd overall,1st round,San Antonio Spurs,1987,6-10,"Evan E. Worthing in Houston, Texas",Greg Anderson,Center and Power Forward,Right,230lb
90,anderjj01,"September 23, 1960","Chicago, Illinois",0.7,46.5,0.0,55.8,157,12.1,4.8,2.8,2.7,46.5,Bradley University,36th overall,2nd round,Philadelphia 76ers,1982,6-8,"Metro in Chicago, Illinois",J.J. Anderson,Small Forward,Right,195lb
91,anderja01,"March 25, 1989","El Dorado, Arkansas",1.2,41.1,32.1,75.5,247,9.9,5.8,2.3,3.3,48.8,Oklahoma State University,20th overall,1st round,San Antonio Spurs,2010,6-6,"Junction City in Junction City, Arkansas",James Anderson,Small Forward and Shooting Guard,Right,213lb
93,anderju01,"November 19, 1993","Montross, Virginia",0.7,41.9,30.2,77.8,216,12.9,5.3,2.6,4.7,49.0,University of Virginia,21st overall,1st round,Dallas Mavericks,2015,6-6,"Montrose Christian in Rockville, Maryland",Justin Anderson,Small Forward,Left,230lb
94,anderke01,"October 9, 1970","Queens, New York",6.1,42.1,34.6,79.0,858,16.4,12.6,3.1,62.5,44.9,Georgia Institute of Technology,2nd overall,1st round,New Jersey Nets,1991,6-0,"Archbishop Molloy in Jamaica, New York",Kenny Anderson,Point Guard,Left,168lb
96,anderky01,"September 20, 1993","Fairview, New Jersey",1.9,49.2,32.4,70.6,300,13.5,5.3,3.9,15.4,51.4,"University of California, Los Angeles",30th overall,1st round,San Antonio Spurs,2014,6-9,"St. Anthony's in Jersey City, New Jersey",Kyle Anderson,Small Forward,Right,230lb
97,andermi01,"March 23, 1966","Philadelphia, Pennsylvania",4.3,41.7,14.3,69.5,36,10.5,5.7,2.5,0.2,42.0,Drexel University,73rd overall,3rd round,Indiana Pacers,1988,5-11,"George Washington Carver High School of Engineering and Science in Philadelphia, Pennsylvania",Michael Anderson,Point Guard,Right,184lb
98,anderni01,"January 20, 1968","Chicago, Illinois",2.6,44.6,35.6,66.7,800,15.8,14.4,5.1,55.3,50.0,University of Illinois at Urbana-Champaign,11th overall,1st round,Orlando Magic,1989,6-6,"Simeon Vocational School in Chicago, Illinois",Nick Anderson,Shooting Guard and Small Forward,Right,205lb
99,anderri01,"November 19, 1960","San Pedro, California",1.5,41.2,33.3,76.2,407,12.3,5.6,3.5,7.6,44.6,"University of California, Santa Barbara",32nd overall,2nd round,San Diego Clippers,1982,6-10,"Rancho Alamitos in Garden Grove, California",Richard Anderson,Center and Power Forward,Right,240lb
100,anderro01,"October 15, 1958","Chicago, Illinois",1.4,47.1,28.7,81.4,664,14.3,10.6,3.5,24.2,47.9,"California State University, Fresno",27th overall,2nd round,Cleveland Cavaliers,1984,6-7,"Bowen in Chicago, Illinois",Ron Anderson,Small Forward,Right,215lb
101,anderry01,"May 6, 1988","Sacramento, California",0.9,42.2,38.0,85.4,647,16.5,12.4,5.3,46.7,52.3,University of California,21st overall,1st round,New Jersey Nets,2008,6-10,"Oak Ridge in El Dorado Hills, California",Ryan Anderson,Power Forward,Right,240lb
102,andersh01,"December 31, 1973","Atlanta, Georgia",1.4,45.7,31.6,73.9,719,11.7,7.4,3.1,23.6,49.2,University of Georgia,54th overall,2nd round,Utah Jazz,1996,6-6,"Crim in Atlanta, Georgia",Shandon Anderson,Small Forward and Shooting Guard,Right,208lb
103,anderwi01,"January 8, 1967","Greenville, South Carolina",3.8,47.1,26.6,78.6,555,13.8,12.2,3.8,27.9,47.9,University of Georgia,10th overall,1st round,San Antonio Spurs,1988,6-7,"East Atlanta in Atlanta, Georgia",Willie Anderson,Shooting Guard and Small Forward,Right,190lb
113,anthoca01,"May 29, 1984","Brooklyn, New York",3.0,44.9,34.7,81.1,1064,20.3,24.0,6.5,101.0,48.2,Syracuse University,3rd overall,1st round,Denver Nuggets,2003,6-8,"Oak Hill Academy in Mouth of Wilson, Virginia",Carmelo Anthony,Small Forward and Power Forward,Right,240lb
114,anthogr01,"November 15, 1967","Las Vegas, Nevada",4.0,40.3,34.9,73.3,757,14.5,7.3,1.9,35.9,46.7,"University of Portland, University of Nevada, Las Vegas",12th overall,1st round,New York Knicks,1991,6-0,"Rancho in North Las Vegas, Nevada",Greg Anthony,Point Guard,Left,176lb
117,anunoog01,"July 17, 1997","London, United Kingdom",0.7,46.1,35.1,60.5,141,9.9,6.4,2.7,5.0,55.5,Indiana University,23rd overall,1st round,Toronto Raptors,2017,6-8,"Jefferson City in Jefferson City, Missouri",OG Anunoby,Small Forward,Right,232lb
119,araujra01,"August 12, 1980","Curitiba, Brazil",0.3,40.5,25.0,67.9,139,6.3,2.8,2.8,-0.4,40.6,Brigham Young University,8th overall,1st round,Toronto Raptors,2004,6-11,"Padre Anacleto in Sao Paulo, Brazil",Rafael Araujo,Center,Right,280lb
122,architi01,"September 2, 1948","New York, New York",7.4,46.7,22.4,81.0,876,18.0,18.8,2.3,83.4,46.8,University of Texas at El Paso,19th overall,2nd round,Cincinnati Royals,1970,6-1,"DeWitt Clinton in Bronx, New York",Tiny Archibald,Point Guard,Left,150lb
124,ardji01,"September 19, 1948","Harvey, Illinois",0.6,40.2,23.5,66.2,431,10.6,4.4,4.3,4.0,40.3,University of Cincinnati,6th overall,1st round,Seattle SuperSonics,1970,6-8,"Thornton Township in Harvey, Illinois",Jim Ard,Center,Right,215lb
125,arenagi01,"January 6, 1982","Tampa, Florida",5.3,42.1,35.1,80.3,552,19.6,20.7,3.9,51.3,48.2,University of Arizona,31st overall,2nd round,Golden State Warriors,2001,6-3,"Grant in Van Nuys, California",Gilbert Arenas,Point Guard,Right,191lb
126,arizatr01,"June 30, 1985","Miami, Florida",2.2,42.2,35.1,72.8,1011,13.3,10.7,4.8,60.0,50.2,"University of California, Los Angeles",43rd overall,2nd round,New York Knicks,2004,6-8,"Westchester in Los Angeles, California",Trevor Ariza,Small Forward and Shooting Guard,Right,215lb
129,armstbj01,"September 9, 1967","Detroit, Michigan",3.3,47.7,42.5,85.6,747,14.5,9.8,1.8,45.0,51.3,University of Iowa,18th overall,1st round,Chicago Bulls,1989,6-2,"Brother Rice in Birmingham, Michigan",B.J. Armstrong,Point Guard,Right,175lb
131,armstbr01,"June 16, 1980","San Francisco, California",0.2,35.2,33.3,60.0,108,4.9,2.2,0.6,-0.6,39.5,Pepperdine University,23rd overall,1st round,Houston Rockets,2001,6-5,"Vallejo in Vallejo, California",Brandon Armstrong,Shooting Guard,Left,188lb
134,armsthi01,"November 11, 1984","Peekskill, New York",0.3,50.1,28.6,58.2,292,9.9,3.0,2.6,3.9,50.2,University of Connecticut,12th overall,1st round,New Orleans/Oklahoma City Hornets,2006,6-11,"Peekskill in Peekskill, New York",Hilton Armstrong,Center and Power Forward,Right,235lb
138,arnzebo01,"November 3, 1947","Covington, Kentucky",0.3,46.5,20.0,80.0,111,13.6,4.0,2.0,1.4,46.6,University of Notre Dame,103rd overall,8th round,Detroit Pistons,1969,6-5,"Saint Xavier in Cincinnati, Ohio",Bob Arnzen,Small Forward,Right,205lb
140,arthuda01,"March 25, 1988","Dallas, Texas",0.8,44.4,35.2,76.5,503,12.2,6.5,3.5,12.3,47.0,University of Kansas,27th overall,1st round,New Orleans Hornets,2008,6-9,"South Oak Cliff in Dallas, Texas",Darrell Arthur,Small Forward and Power Forward,Right,235lb
144,askewvi01,"February 28, 1966","Memphis, Tennessee",2.2,47.9,30.0,75.4,467,12.6,7.1,2.5,22.1,49.4,University of Memphis,39th overall,2nd round,Philadelphia 76ers,1987,6-6,"Frayser in Memphis, Tennessee",Vincent Askew,Shooting Guard,Right,210lb
151,augmost01,"August 1, 1968","Pasadena, California",1.6,46.9,15.2,72.8,1001,13.7,8.0,3.2,43.8,47.0,"University of Nevada, Las Vegas",9th overall,1st round,Atlanta Hawks,1991,6-8,"John Muir in Pasadena, California",Stacey Augmon,Small Forward and Shooting Guard,Left,205lb
152,augusdj01,"November 10, 1987","New Orleans, Louisiana",4.0,41.3,38.1,86.3,807,14.2,9.8,1.9,41.9,49.7,University of Texas at Austin,9th overall,1st round,Charlotte Bobcats,2008,6-0,"Hightower in Missouri City, Texas",D.J. Augustin,Point Guard,Right,183lb
154,austiis01,"August 18, 1969","Gridley, California",1.2,44.6,17.6,67.0,432,13.0,7.6,4.7,9.2,44.8,Arizona State University,48th overall,2nd round,Utah Jazz,1991,6-10,"Las Plumas in Oroville, California",Isaac Austin,Center,Right,255lb
155,austijo01,"August 31, 1944","Washington, District of Columbia",1.4,37.5,0.0,73.1,45,9.3,7.6,1.6,0.9,37.5,Boston College,38th overall,4th round,Boston Celtics,1966,6-0,"DeMatha Catholic in Hyattsville, Maryland",Johnny Austin,Shooting Guard,Right,170lb
157,aventan01,"October 18, 1969","Rocky Mount, North Carolina",0.8,40.3,0.0,68.6,352,8.8,5.6,4.5,0.3,40.3,Seton Hall University,15th overall,1st round,Atlanta Hawks,1991,6-9,"Malcolm X Shabazz in Newark, New Jersey",Anthony Avent,Power Forward,Right,235lb
159,averywi01,"August 8, 1979","Augusta, Georgia",1.4,33.0,25.5,71.4,142,7.3,2.7,0.7,-0.9,37.8,Duke University,14th overall,1st round,Minnesota Timberwolves,1999,6-2,"Oak Hill Academy in Mouth of Wilson, Virginia",William Avery,Point Guard,Right,197lb
162,pendeje02,"April 29, 1987","Ontario, California",0.4,55.3,40.0,77.6,237,12.4,2.9,2.7,6.3,55.5,Arizona State University,31st overall,2nd round,Sacramento Kings,2009,6-9,"Etiwanda in Rancho Cucamonga, California",Jeff Ayres,Center and Power Forward,Right,240lb
163,aytonde01,"July 23, 1998","Nassau, Bahamas",1.8,58.5,0.0,74.6,71,20.5,16.3,10.3,5.8,58.5,University of Arizona,1st overall,1st round,Phoenix Suns,2018,7-1,"Hillcrest Prep Academy in Phoenix, Arizona",Deandre Ayton,Center,Right,250lb
166,babbilu01,"June 20, 1989","Cincinnati, Ohio",0.6,40.8,40.2,74.7,381,10.1,4.8,2.2,7.2,53.2,"University of Nevada, Reno",16th overall,1st round,Minnesota Timberwolves,2010,6-9,"Galena in Reno, Nevada",Luke Babbitt,Small Forward and Power Forward,Left,225lb
169,bacondw01,"August 30, 1995","Lakeland, Florida",0.9,43.2,37.7,76.1,96,8.8,5.1,2.2,1.1,48.7,Florida State University,40th overall,2nd round,New Orleans Pelicans,2017,6-7,"Oak Hill Academy in Mouth of Wilson, Virginia",Dwayne Bacon,Shooting Guard,Right,221lb
170,baconhe01,"July 5, 1948","Louisville, Kentucky",0.8,36.6,20.0,60.3,47,4.3,3.5,1.7,-0.1,37.2,University of Louisville,93rd overall,6th round,Golden State Warriors,1972,6-3,"Male in Louisville, Kentucky",Henry Bacon,Shooting Guard,Right,205lb
173,baglejo01,"April 23, 1960","Bridgeport, Connecticut",6.0,43.7,24.1,77.9,665,13.0,8.7,2.6,16.6,44.8,Boston College,12th overall,1st round,Cleveland Cavaliers,1982,6-0,"Warren Harding in Bridgeport, Connecticut",John Bagley,Point Guard,Right,185lb
174,baglema01,"March 14, 1999","Tempe, Arizona",1.0,50.4,31.3,69.1,62,18.9,14.9,7.6,3.6,52.5,Duke University,2nd overall,1st round,Sacramento Kings,2018,6-11,"Sierra Canyon in Chatsworth, California",Marvin Bagley III,Power Forward,Left,234lb
176,bailegu01,"February 18, 1951","Gibson, North Carolina",1.1,40.6,100.0,51.0,147,11.3,2.6,1.7,0.8,40.8,University of Texas at El Paso,23rd overall,2nd round,Houston Rockets,1974,6-5,"Burgess in El Paso, Texas",Gus Bailey,Shooting Guard,Right,185lb
177,baileja01,"May 21, 1957","Dublin, Georgia",0.8,48.4,7.7,70.3,595,13.0,8.8,5.0,16.3,48.4,Rutgers University,6th overall,1st round,Seattle SuperSonics,1979,6-9,"Xaverian in Westwood, Massachusetts",James Bailey,Power Forward,Right,220lb
178,baileth01,"April 7, 1961","Washington, District of Columbia",1.4,47.3,11.4,81.2,928,14.3,12.8,5.1,45.0,47.3,North Carolina State University,7th overall,1st round,Utah Jazz,1983,6-11,"Bladensburg in Bladensburg, Maryland",Thurl Bailey,Power Forward and Small Forward,Right,215lb
179,baileto01,"November 19, 1975","Los Angeles, California",0.6,40.7,20.0,69.2,73,11.0,3.3,1.7,1.0,41.4,"University of California, Los Angeles",45th overall,2nd round,Los Angeles Lakers,1998,6-6,"Loyola in Los Angeles, California",Toby Bailey,Shooting Guard,Right,213lb
180,bairsca01,"December 7, 1990","Brisbane, Australia",0.2,29.6,20.0,84.6,36,5.0,1.2,1.0,-0.1,30.6,University of New Mexico,49th overall,2nd round,Chicago Bulls,2014,6-9,"Australian Institute of Sport in Canberra, Australia",Cameron Bairstow,Center and Power Forward,Right,250lb
186,bakervi01,"November 23, 1971","Lake Wales, Florida",1.9,48.5,21.5,63.8,791,16.3,15.0,7.4,47.0,48.7,University of Hartford,8th overall,1st round,Milwaukee Bucks,1993,6-11,"Old Saybrook in Old Saybrook, Connecticut",Vin Baker,Power Forward and Center,Right,232lb
187,baldwwa01,"March 29, 1996","Belle Mead, New Jersey",1.4,35.5,25.0,77.6,56,7.1,3.1,1.2,-0.3,38.2,Vanderbilt University,17th overall,1st round,Memphis Grizzlies,2016,6-4,"St. Joseph in Metuchen, New Jersey",Wade Baldwin,Point Guard,Right,200lb
188,balkmre01,"July 14, 1984","Staten Island, New York",0.6,51.0,17.2,54.2,221,14.3,4.0,3.5,7.2,51.8,University of South Carolina,20th overall,1st round,New York Knicks,2006,6-8,"Laurinburg Institute in Laurinburg, North Carolina",Renaldo Balkman,Small Forward and Power Forward,Right,208lb
190,balllo01,"October 27, 1997","Anaheim, California",6.4,38.0,31.5,43.7,99,12.2,10.0,6.2,3.5,46.1,"University of California, Los Angeles",2nd overall,1st round,Los Angeles Lakers,2017,6-6,"Chino Hills in Chino Hills, California",Lonzo Ball,Point Guard,Right,190lb
191,ballagr01,"January 29, 1955","Los Angeles, California",2.2,47.2,33.8,78.7,802,15.7,12.4,6.1,54.0,47.7,University of Oregon,4th overall,1st round,Washington Bullets,1977,6-7,"Garey in Pomona, California",Greg Ballard,Small Forward,Right,215lb
193,bambamo01,"May 12, 1998","Harlem, New York",0.8,48.1,30.0,58.7,47,14.9,6.2,5.0,1.7,52.5,University of Texas at Austin,6th overall,1st round,Orlando Magic,2018,7-0,"Westtown School in West Chester, Pennsylvania",Mohamed Bamba,Center,Right,221lb
194,banksge01,"May 15, 1959","Philadelphia, Pennsylvania",2.9,53.9,4.3,73.0,468,15.1,11.3,5.8,31.2,53.9,Duke University,28th overall,2nd round,San Antonio Spurs,1981,6-7,"West Philadelphia in Philadelphia, Pennsylvania",Gene Banks,Small Forward and Power Forward,Right,215lb
195,banksma01,"November 19, 1981","Las Vegas, Nevada",2.1,43.2,32.7,76.8,348,12.2,5.9,1.5,6.6,46.9,"University of Nevada, Las Vegas",13th overall,1st round,Memphis Grizzlies,2003,6-2,"Cimarron Memorial in Las Vegas, Nevada",Marcus Banks,Point Guard,Right,200lb
